user_id,item_ids,timestamp
18,"[209, 171, 172, 173, 174, 208, 3, 134, 169]",1070582400
3108,"[378, 1255, 1571, 970, 1172]",1170374400
934,"[50, 248, 309, 553, 584]",1191024000
14,"[188, 139, 137, 141, 140, 212, 208, 58, 746, 142, 464]",1194825600
14,"[139, 137, 141, 140, 212, 208, 58, 746, 142, 464, 465]",1194825600
14,"[137, 141, 140, 212, 208, 58, 746, 142, 464, 465, 645]",1194825600
14,"[141, 140, 212, 208, 58, 746, 142, 464, 465, 645, 647]",1194825600
14,"[140, 212, 208, 58, 746, 142, 464, 465, 645, 647, 220]",1195603200
14,"[212, 208, 58, 746, 142, 464, 465, 645, 647, 220, 230]",1195603200
14,"[208, 58, 746, 142, 464, 465, 645, 647, 220, 230, 227]",1196208000
14,"[58, 746, 142, 464, 465, 645, 647, 220, 230, 227, 263]",1196208000
14,"[746, 142, 464, 465, 645, 647, 220, 230, 227, 263, 52]",1196812800
2,"[333, 6, 558, 1, 749]",1197763200
14,"[142, 464, 465, 645, 647, 220, 230, 227, 263, 52, 219]",1202256000
14,"[464, 465, 645, 647, 220, 230, 227, 263, 52, 219, 569]",1208131200
14,"[465, 645, 647, 220, 230, 227, 263, 52, 219, 569, 44]",1208649600
14,"[645, 647, 220, 230, 227, 263, 52, 219, 569, 44, 612]",1208736000
14,"[647, 220, 230, 227, 263, 52, 219, 569, 44, 612, 277]",1209340800
14,"[220, 230, 227, 263, 52, 219, 569, 44, 612, 277, 143]",1209427200
14,"[230, 227, 263, 52, 219, 569, 44, 612, 277, 143, 570]",1213488000
14,"[227, 263, 52, 219, 569, 44, 612, 277, 143, 570, 643]",1214611200
14,"[263, 52, 219, 569, 44, 612, 277, 143, 570, 643, 53]",1239321600
3636,"[548, 527, 667, 1057, 1134]",1240099200
110,"[75, 257, 664, 14, 8, 32]",1241481600
14,"[52, 219, 569, 44, 612, 277, 143, 570, 643, 53, 54]",1245369600
2936,"[321, 337, 809, 1084, 888]",1247011200
940,"[269, 50, 527, 1187, 1182]",1248134400
244,"[93, 541, 1084, 471, 1088, 498, 23, 188, 190, 1214, 1240]",1248307200
2989,"[336, 476, 478, 1026, 817]",1249084800
704,"[542, 1081, 967, 1126, 982, 401, 430, 439, 208, 374, 310]",1249862400
1354,"[458, 220, 95, 280, 1047, 171, 344, 84, 1176, 1214, 1183]",1250208000
1354,"[220, 95, 280, 1047, 171, 344, 84, 1176, 1214, 1183, 243]",1250640000
1628,"[213, 520, 602, 208, 209, 374, 753, 219, 494, 1047, 210]",1250640000
1354,"[95, 280, 1047, 171, 344, 84, 1176, 1214, 1183, 243, 216]",1251417600
2770,"[894, 902, 1218, 289, 429, 814]",1251504000
704,"[1081, 967, 1126, 982, 401, 430, 439, 208, 374, 310, 48]",1252022400
704,"[967, 1126, 982, 401, 430, 439, 208, 374, 310, 48, 454]",1252022400
704,"[1126, 982, 401, 430, 439, 208, 374, 310, 48, 454, 639]",1252454400
704,"[982, 401, 430, 439, 208, 374, 310, 48, 454, 639, 789]",1253232000
704,"[401, 430, 439, 208, 374, 310, 48, 454, 639, 789, 552]",1253664000
14,"[219, 569, 44, 612, 277, 143, 570, 643, 53, 54, 621]",1253923200
221,"[392, 612, 556, 30, 513, 20, 235, 193, 506, 789, 188]",1253923200
704,"[430, 439, 208, 374, 310, 48, 454, 639, 789, 552, 42]",1254614400
704,"[439, 208, 374, 310, 48, 454, 639, 789, 552, 42, 61]",1254614400
1354,"[280, 1047, 171, 344, 84, 1176, 1214, 1183, 243, 216, 1313]",1254787200
1354,"[1047, 171, 344, 84, 1176, 1214, 1183, 243, 216, 1313, 424]",1255305600
1354,"[171, 344, 84, 1176, 1214, 1183, 243, 216, 1313, 424, 528]",1255305600
923,"[806, 280, 50, 642, 1126, 325, 1125, 94, 1214, 1110, 1105]",1255478400
923,"[280, 50, 642, 1126, 325, 1125, 94, 1214, 1110, 1105, 1108]",1255478400
221,"[612, 556, 30, 513, 20, 235, 193, 506, 789, 188, 130]",1255651200
221,"[556, 30, 513, 20, 235, 193, 506, 789, 188, 130, 1338]",1257552000
1628,"[520, 602, 208, 209, 374, 753, 219, 494, 1047, 210, 604]",1257724800
1628,"[602, 208, 209, 374, 753, 219, 494, 1047, 210, 604, 719]",1257724800
221,"[30, 513, 20, 235, 193, 506, 789, 188, 130, 1338, 1319]",1257897600
968,"[465, 643, 464, 647, 691, 1242, 1315, 891, 1244, 909, 1290]",1258848000
704,"[208, 374, 310, 48, 454, 639, 789, 552, 42, 61, 947]",1258934400
4699,"[1288, 1290, 1292, 1313, 1338]",1259020800
221,"[513, 20, 235, 193, 506, 789, 188, 130, 1338, 1319, 1220]",1259366400
704,"[374, 310, 48, 454, 639, 789, 552, 42, 61, 947, 1352]",1259625600
704,"[310, 48, 454, 639, 789, 552, 42, 61, 947, 1352, 1105]",1259798400
244,"[541, 1084, 471, 1088, 498, 23, 188, 190, 1214, 1240, 1292]",1261008000
244,"[1084, 471, 1088, 498, 23, 188, 190, 1214, 1240, 1292, 1296]",1261008000
1113,"[806, 1081, 1126, 1151, 1214, 1257, 1348, 1290, 1239, 1292, 1293]",1261008000
244,"[471, 1088, 498, 23, 188, 190, 1214, 1240, 1292, 1296, 1319]",1261440000
389,"[986, 1114, 1214, 1333, 1342, 1288, 1290, 1239, 1352, 1292, 1320]",1261612800
1525,"[175, 171, 515, 517, 1214, 1020, 1240, 103, 202, 1294, 805]",1261612800
758,"[339, 531, 827, 103, 1319, 1338, 1348, 1293, 1352, 1262, 1342]",1261699200
244,"[1088, 498, 23, 188, 190, 1214, 1240, 1292, 1296, 1319, 1262]",1261785600
923,"[50, 642, 1126, 325, 1125, 94, 1214, 1110, 1105, 1108, 805]",1261872000
1238,"[335, 73, 313, 690, 1143]",1261958400
3429,"[496, 536, 844, 1007, 462, 573, 1126, 1178, 1238, 1333, 1348]",1262044800
344,"[608, 513, 64, 769, 471, 498, 1088, 1241, 1242, 1320, 1258]",1262217600
758,"[531, 827, 103, 1319, 1338, 1348, 1293, 1352, 1262, 1342, 1295]",1262217600
2288,"[195, 323, 1232, 934, 983, 1265]",1262476800
924,"[321, 50, 471, 498, 529, 304, 1240, 1315, 1288, 1319, 1324]",1262649600
344,"[513, 64, 769, 471, 498, 1088, 1241, 1242, 1320, 1258, 1288]",1262736000
4303,"[843, 983, 995, 1213, 1231]",1262736000
804,"[313, 312, 885, 484, 1240, 103, 1320, 1323, 1288, 1293, 805]",1262908800
1203,"[1026, 320, 1177, 1214, 819, 1322, 1338, 1345, 1292, 1296, 1320]",1263081600
1354,"[344, 84, 1176, 1214, 1183, 243, 216, 1313, 424, 528, 1294]",1263081600
1354,"[84, 1176, 1214, 1183, 243, 216, 1313, 424, 528, 1294, 1295]",1263081600
704,"[48, 454, 639, 789, 552, 42, 61, 947, 1352, 1105, 1345]",1263340800
